iter	Passed	Remaining
1272	55200	378421
1273	55217	378203
1274	55406	379154
1275	55442	379060
1276	55636	380041
1277	55668	379920
1278	55680	379660
1279	55710	379529
1280	55733	379347
1281	55763	379208
1282	55791	379058
1283	55802	378799
1284	55817	378561
1285	55841	378381
1286	55857	378154
1287	55872	377923
1288	55905	377805
1289	55939	377699
1290	55959	377500
1291	55972	377254
1292	55996	377075
1293	56009	376833
1294	56022	376582
1295	56037	376350
1296	56062	376183
1297	56089	376030
1298	56207	376489
1299	56233	376332
1300	56251	376119
1301	56281	375987
1302	56314	375877
1303	56347	375764
1304	56371	375595
1305	56398	375443
1306	56422	375271
1307	56434	375022
1308	56554	375491
1309	56577	375312
1310	56589	375063
1311	56604	374835
1312	56623	374628
1313	56635	374377
1314	56652	374162
1315	56667	373936
1316	56685	373731
1317	56703	373519
1318	56718	373294
1319	56741	373117
1320	56754	372878
1321	56783	372741
1322	56806	372569
1323	56826	372376
1324	56850	372209
1325	56868	372002
1326	56894	371852
1327	56918	371683
1328	56942	371519
1329	56964	371341
1330	56987	371167
1331	57008	370984
1332	57151	371595
1333	57167	371376
1334	57184	371164
1335	57200	370945
1336	57219	370752
1337	57239	370557
1338	57254	370338
1339	57273	370139
1340	57286	369904
1341	57299	369669
1342	57313	369445
1343	57329	369230
1344	57360	369114
1345	57379	368918
1346	57398	368723
1347	57410	368486
1348	57423	368250
1349	57435	368012
1350	57448	367784
1351	57465	367575
1352	57492	367434
1353	57507	367217
1354	57523	367001
1355	57538	366783
1356	57553	366566
1357	57567	366348
1358	57590	366180
1359	57605	365965
1360	57624	365770
1361	57638	365554
1362	57655	365348
1363	57673	365153
1364	57688	364940
1365	57704	364728
1366	57719	364514
1367	57773	364547
1368	57794	364373
1369	57811	364167
1370	57834	364008
1371	57849	363796
1372	57868	363605
1373	57885	363407
1374	57926	363358
1375	57941	363147
1376	57965	362986
1377	58157	363884
1378	58175	363693
1379	58205	363576
1380	58222	363371
1381	58247	363226
1382	58262	363016
1383	58384	363468
1384	58399	363260
1385	58413	363037
1386	58436	362880
1387	58449	362657
1388	58465	362451
1389	58477	362226
1390	58509	362117
1391	58521	361892
1392	58534	361667
1393	58546	361442
1394	58558	361217
1395	58571	360992
1396	58583	360769
1397	58599	360565
1398	58720	361012
1399	58859	361562
1400	58878	361380
1401	58904	361238
1402	58915	361012
1403	59017	361334
1404	59033	361130
1405	59045	360906
1406	59063	360720
1407	59075	360497
1408	59090	360290
1409	59217	360763
1410	59327	361137
1411	59340	360916
1412	59352	360694
1413	59464	361078
1414	59477	360856
1415	59579	361181
1416	59595	360978
1417	59637	360937
1418	59652	360730
1419	59691	360672
1420	59710	360491
1421	59731	360319
1422	59833	360641
1423	59847	360428
1424	59860	360212
1425	59873	359998
1426	59887	359787
1427	59901	359574
1428	59915	359368
1429	59930	359164
1430	59945	358962
1431	59960	358760
1432	59976	358559
